id,url,english_text,texts
dictionary-3368_t.bb2da3268da927d11d42a0ed7f881eab,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/dictionary/3368_t.bb2da3268da927d11d42a0ed7f881eab.mp3,how,"[""چطوری""]"
vocabulary-sample-3698,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3698.mp3,How do I get to Enqelab square?,"[""چطوری برم میدون انقلاب؟""]"
vocabulary-sample-3355,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3355.mp3,Tell me how to use the remote control.,"[""بهم یاد بده چطوری از کنترل استفاده کنم.""]"
vocabulary-sample-1634,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1634.mp3,How did you go by this way?,"[""چطوری توانستید از این راه بروید؟""]"
vocabulary-sample-1580,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1580.mp3,How can I go to Enghelab Square?,"[""چطوری بروم میدان انقلاب؟""]"
vocabulary-2591,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2591.mp3,you (singular),"[""تو""]"
vocabulary-sample-2093,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2093.mp3,I know you.,"[""من تو را می شناسم.""]"
vocabulary-1615,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/1615.mp3,hello,"[""سلام""]"
vocabulary-sample-1432,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1432.mp3,He never says hello to me.,"[""او هیچ وقت به من سلام نمی کند.""]"
vocabulary-2592,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2592.mp3,tomorrow,"[""فردا""]"
vocabulary-sample-2094,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2094.mp3,Tomorrow is a holiday.,"[""فردا تعطیل است.""]"
vocabulary-2593,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2593.mp3,"to see, to watch, to look, to visit","[""دیدن""]"
vocabulary-sample-3223,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3223.mp3,I always watch this TV show.,"[""من همیشه این نمایش تلویزیونی را می‌بینم.""]"
vocabulary-sample-3210,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3210.mp3,My family will visit Rome next year.,"[""خانواده من سال آینده از رم دیدن خواهند کرد.""]"
vocabulary-sample-3160,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3160.mp3,She couldn't stop looking at the screen.,"[""او نتوانست صفحه را نبیند.""]"
vocabulary-sample-2628,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2628.mp3,"Usually, I don't watch any sports but I made an exception yesterday.","[""معمولاً، هیچ ورزشی را نمی‌بینم ولی‌ دیروز استثناء قائل شدم.""]"
vocabulary-sample-2095,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2095.mp3,He came to see me.,"[""او به دیدن من آمد.""]"
vocabulary-2594,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2594.mp3,goodbye,"[""خداحافظ""]"
vocabulary-sample-2096,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2096.mp3,Bye until next time.,"[""تا دفعه‌ی بعد خداحافظ.""]"
transcript_551-1,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_551/1.mp3,Good day. My name is Mahmoodi. I'm Sara's mother.,"[""روز به خیر. اسم من محمودیه. من مادر سارا هستم."", ""روز بهِ خِیر. اسمِ مَن مَحمودیهِ. مَن مادَرِ سارا هَستمَ."", ""rooz bekheyr. esm-e man mahmoodi-ye. man maadar-e saaraa hastam.""]"
transcript_551-2,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_551/2.mp3,"Good day. I'm Tehrani, her teacher.","[""روز به خیر. من هم تهرانی، معلمش هستم."", ""روز بهِ خِیر. مَن هَم تِهرانی، مُعَلِمَش هستم."", ""rooz bekheyr. man ham tehraani, mo'allem-esh hastam.""]"
transcript_551-3,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_551/3.mp3,It's a pleasure to meet you.,"[""از دیدن شما خوشوقتم."", ""از دیدَنِ شُما خُوشوَقتمَ."", ""az didan-e shomaa khoshvaqtam.""]"
transcript_551-4,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_551/4.mp3,It's a pleasure to meet you too.,"[""من هم همینطور."", ""مَن هَم هَمینطُور."", ""man ham hamintor.""]"
963428,https://d1pra95f92lrn3.cloudfront.net/audio/963428.mp3,day,"[""روز""]"
vocabulary-sample-6949,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/6949.mp3,all day long,"[""در تمام طول روز""]"
vocabulary-sample-3447,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3447.mp3,What day is it today?,"[""امروز چه روزی است؟""]"
vocabulary-sample-1434,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1434.mp3,What do you do during the day?,"[""روزها چکار می‌کنید؟""]"
vocabulary-2595,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2595.mp3,good,"[""به خیر""]"
vocabulary-sample-2097,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2097.mp3,Good Night.,"[""شبتان به خیر.""]"
vocabulary-2191,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2191.mp3,name,"[""اسم""]"
vocabulary-sample-1786,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1786.mp3,He said his name is Ali.,"[""او گفت اسمش علی است.""]"
vocabulary-2596,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2596.mp3,mother,"[""مادر""]"
vocabulary-2597,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2597.mp3,her teacher,"[""معلمش""]"
vocabulary-sample-2099,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2099.mp3,Her teacher is a kind person.,"[""معلمش فرد مهربانی است.""]"
vocabulary-2193,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2193.mp3,to be,"[""بودن""]"
vocabulary-sample-1789,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1789.mp3,That is a book.,"[""اون یک کتابه.""]"
vocabulary-sample-1558,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1558.mp3,Our house is nearby.,"[""خانه‌ی ما همین نزدیک هاست.""]"
vocabulary-2598,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2598.mp3,Nice to meet you.,"[""از دیدن شما خوشوقتم""]"
vocabulary-sample-2100,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2100.mp3,"It’s a pleasure to meet you, sir.","[""از دیدن شما خوشوقتم، آقا.""]"
vocabulary-2231,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2231.mp3,me too,"[""من هم همینطور""]"
vocabulary-sample-1823,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1823.mp3,Ali: I'm hungry. Zahra: Me too.,"[""علی:من گرسنه هستم.  زهرا: من هم همین طور.""]"
transcript_552-2,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_552/2.mp3,Who is it?,"[""کیه؟"", ""کیهِ؟"", ""kie?""]"
transcript_552-3,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_552/3.mp3,It’s the postman. You have a package.,"[""پستچی. یک بسته دارید."", ""پُستچی. یِک بَستِه دارید."", ""postchi. yek baste daarid.""]"
transcript_552-4,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_552/4.mp3,Thank you.,"[""متشکرم."", ""مُتشَکِرَم."", ""motshakkeram.""]"
transcript_552-5,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_552/5.mp3,Here you are.,"[""بفرمایید."", ""بِفَرمایید."", ""befarmaayid.""]"
transcript_552-6,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_552/6.mp3,Thank you very much.,"[""خیلی ممنون."", ""خِیلی مَمنون."", ""kheyli mamnoon.""]"
transcript_552-7,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_552/7.mp3,You're welcome.,"[""خواهش می کنم."", ""خواهِش می کُنمَ."", ""khaahesh mikonam.""]"
vocabulary-2600,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2600.mp3,postman,"[""پستچی""]"
vocabulary-sample-2103,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2103.mp3,The postman brought a letter for me.,"[""پستچی برایم نامه آورد.""]"
vocabulary-2601,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2601.mp3,to have,"[""داشتن""]"
vocabulary-sample-3592,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3592.mp3,Last night I had a guest.,"[""دیشب میهمان داشتم.""]"
vocabulary-sample-3007,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3007.mp3,I have two brothers and one sister.,"[""من دو برادر و یک خواهر دارم.""]"
vocabulary-sample-2104,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2104.mp3,Last night I had a guest.,"[""دیشب مهمان داشتم.""]"
845595,https://d1pra95f92lrn3.cloudfront.net/audio/845595.mp3,package,"[""بسته""]"
vocabulary-sample-1604,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1604.mp3,I put the package in the room.,"[""بسته را گذاشتم در اتاق.""]"
vocabulary-2602,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2602.mp3,thank you,"[""متشکرم""]"
vocabulary-sample-3405,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3405.mp3,Thank you for your help!,"[""از کمکتان متشکرم.""]"
vocabulary-sample-2105,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2105.mp3,I’m thankful to my teacher.,"[""از معلمم متشکرم.""]"
vocabulary-2599,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2599.mp3,Who is it?,"[""کیه""]"
vocabulary-sample-2101,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2101.mp3,Who is knocking at the door?,"[""کیه در می زنه؟""]"
vocabulary-2603,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2603.mp3,Thank you very much,"[""خیلی ممنون""]"
vocabulary-sample-2106,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2106.mp3,Thank you for the present.,"[""خیلی ممنون برای هدیه.""]"
vocabulary-2604,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2604.mp3,here you are,"[""بفرمایید""]"
vocabulary-sample-2107,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2107.mp3,"Here you are, have some fruits.","[""یک کم میوه بفرمایید.""]"
vocabulary-2605,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2605.mp3,to ask / you’re welcome,"[""خواهش کردن""]"
vocabulary-sample-2108,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2108.mp3,You’re welcome.,"[""خواهش می کنم.""]"
transcript_553-2,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_553/2.mp3,Ouch! Excuse me...,"[""آخ! می بخشید..."", ""آخ! می بَخشید..."", ""aakh! mibakhshid…""]"
transcript_553-3,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_553/3.mp3,Yes?,"[""بله؟"", ""بَلِه؟"", ""bale?""]"
transcript_553-4,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_553/4.mp3,You stepped on my foot...,"[""پاتون رو گذاشتین روی پای من."", ""پاتون رُو گُذاشتین رویِ پایِ مَن."", ""paatoon ro gozaashtin rooye paa-ye man""]"
transcript_553-5,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_553/5.mp3,"Oh, I'm sorry!","[""وای ببخشید!"", ""وای بِبَخشید!"", ""vaay bebakhshid!""]"
transcript_553-6,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_553/6.mp3,No problem.,"[""اشکالی نداره."", ""اشکالی نَدارِه."", ""eshkaali nadaare.""]"
transcript_553-7,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_553/7.mp3,I'm really sorry!,"[""خیلی عذر می خوام."", ""خِیلی عُذر می خوام."", ""kheyli ozr mikhaam.""]"
116947,https://d1pra95f92lrn3.cloudfront.net/audio/116947.mp3,yes,"[""بله""]"
vocabulary-sample-1614,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1614.mp3,"If you agree, it is enough to say yes.","[""اگر مایل هستید کافی ست بگویید بله""]"
vocabulary-sample-1449,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1449.mp3,"Yes, please do contact me.","[""بله، حتما با من تماس بگیر.""]"
vocabulary-2614,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2614.mp3,very much,"[""خیلی""]"
vocabulary-sample-2117,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2117.mp3,The rainbow is very beautiful.,"[""رنگین کمان خیلی زیباست.""]"
vocabulary-2608,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2608.mp3,to put,"[""گذاشتن""]"
vocabulary-sample-3192,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3192.mp3,Why don't you put the washing machine over there?,"[""چرا ماشین لباسشویی را آنجا نمی‌گذاری؟""]"
vocabulary-sample-2799,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2799.mp3,Can you put my camera on the desk?,"[""میتونی‌ دوربین من را روی میز بگذاری؟""]"
vocabulary-sample-2111,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2111.mp3,Please put the book over there.,"[""لطفاً کتاب را بگذار آنجا.""]"
vocabulary-2607,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2607.mp3,to forgive,"[""بخشیدن""]"
vocabulary-sample-2110,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2110.mp3,Please forgive me.,"[""مرا ببخشید. ا""]"
vocabulary-2609,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2609.mp3,foot,"[""پا""]"
vocabulary-sample-2112,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2112.mp3,Don’t step on the wire. (Don’t put your foot on the wire.),"[""پایت را روی سیم نگذار.""]"
vocabulary-2606,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2606.mp3,Ouch!,"[""آخ!""]"
vocabulary-sample-2109,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2109.mp3,"Ouch, my head!","[""آخ٬ سرم!""]"
vocabulary-2610,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2610.mp3,on,"[""روی""]"
vocabulary-sample-2113,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2113.mp3,Snow covered the ground.,"[""برف روی زمین نشست.""]"
vocabulary-2611,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2611.mp3,oh,"[""وای""]"
vocabulary-sample-2114,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2114.mp3,"Oh, what rain!","[""وای، چه بارانی!""]"
vocabulary-2612,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2612.mp3,no problem,"[""اشکالی نداره""]"
vocabulary-sample-2115,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2115.mp3,"No problem, you can have it.","[""اشکالی نداره، می‌تونی برش داری.""]"
vocabulary-2613,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2613.mp3,to apologize,"[""عذر خواستن""]"
vocabulary-sample-2116,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2116.mp3,He apologized for his mistake.,"[""او برای اشتباهش عذر خواست.""]"
transcript_554-1,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_554/1.mp3,Hello. What would you like to order?,"[""سلام. غذا چی میل دارید؟"", ""سَلام. غَذا چی مِیل دارید؟"", ""salaam. ghazaa chi meyl daarid?""]"
transcript_554-2,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_554/2.mp3,Can I see the menu?,"[""می تونم لیست غذا رو ببینم؟"", ""می تونَم لیستِ غَذا رُو بِبینَم؟"", ""mitoonam list-e ghazaa ro bebinam?""]"
transcript_554-3,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_554/3.mp3,"Yes, here you are.","[""بله، خدمت شما."", ""بَلِه، خِدمَتِ شُما."", ""bale, khedmat-e shomaa.""]"
transcript_554-4,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_554/4.mp3,Would you please bring me some water?,"[""لطفاً کمی آب برایم می آورید؟"", ""لُطفاً کَمی آب بَرایَم می آورید؟"", ""lotfan kami aab baraayam miaavarid?""]"
transcript_554-5,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_554/5.mp3,"Yes, one moment please, here you are.","[""بله، چند لحظه... بفرمایید."", ""بَلِه، چَند لحَظِه... بِفَرمایید."", ""bale, chand lahze… befarmaayid.""]"
transcript_554-6,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_554/6.mp3,"Excuse me, can I order the food?","[""ببخشید، می تونم غذا رو سفارش بدم؟"", ""بِبَخشید، می‌تونمَ غَذا رُو سِفارِش بِدَم؟"", ""bebakhshid, mitoonam ghazaa ro sefaaresh bedam?""]"
vocabulary-2615,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2615.mp3,What would you like to eat?,"[""چی میل دارید؟""]"
vocabulary-sample-2118,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2118.mp3,What would you like to eat?,"[""چی میل دارید؟""]"
vocabulary-2620,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2620.mp3,to order,"[""سفارش دادن""]"
vocabulary-sample-3347,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3347.mp3,Can we order online?,"[""می تونیم آنلاین سفارش بدیم؟""]"
vocabulary-sample-2977,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2977.mp3,I ordered a coffee for you too.,"[""من برای شما هم قهوه سفارش دادم.""]"
vocabulary-sample-2672,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2672.mp3,Please don't order stuff that you don't need.,"[""لطفاً چیز‌هایی‌ که بهشون احتیاج نداری سفارش نده.""]"
vocabulary-sample-2609,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2609.mp3,All of us ordered the same at the restaurant.,"[""همه مثل هم در رستوران سفارش دادیم.""]"
vocabulary-sample-2123,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2123.mp3,Did you order the food?,"[""غذا را سفارش دادی؟""]"
vocabulary-2617,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2617.mp3,at your service,"[""خدمت شما""]"
vocabulary-sample-2120,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2120.mp3,I’m at your service.,"[""در خدمت شما هستم.""]"
vocabulary-2616,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2616.mp3,to be able to,"[""توانستن""]"
vocabulary-sample-2119,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2119.mp3,"If you can desire it, you can achieve it.","[""خواستن، توانستن است.""]"
vocabulary-2209,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2209.mp3,please,"[""لطفاً""]"
vocabulary-sample-1804,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1804.mp3,Please explain it to me.,"[""لطفاً برایم توضیح دهید""]"
1656067,https://d1pra95f92lrn3.cloudfront.net/audio/1656067.mp3,food,"[""غذا""]"
vocabulary-sample-1632,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1632.mp3,I must eat less food to lose weight.,"[""باید کمتر غذا بخورم تا لاغر شوم.""]"
938279,https://d1pra95f92lrn3.cloudfront.net/audio/938279.mp3,water,"[""آب""]"
vocabulary-sample-2956,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2956.mp3,Water is our lifeblood.,"[""آب مایه حیات است.""]"
vocabulary-sample-2925,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2925.mp3,"Water, please.","[""آب، لطفاً.""]"
vocabulary-2618,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2618.mp3,to bring,"[""آوردن""]"
vocabulary-sample-3683,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3683.mp3,Her husband brought the cake.,"[""شوهرش کیک رو (کیک را) آورد.""]"
vocabulary-sample-3644,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3644.mp3,Bring this book too.,"[""این کتاب رو هم بیار.""]"
vocabulary-sample-3534,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3534.mp3,"If you don't bring me the documents as soon as possible, you're fired.","[""اگر هر چه زودتر اسناد را برای من نیاوری، اخراجی.""]"
vocabulary-sample-3380,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3380.mp3,We were asked to bring our own drinks to the party.,"[""از ما خواسته شده تا برای خودمان نوشیدنی به مهمانی بیاوریم.""]"
vocabulary-2619,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2619.mp3,a few seconds,"[""چند لحظه""]"
vocabulary-sample-2122,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2122.mp3,Can you wait for a few seconds?,"[""چند لحظه می تونی صبر کنی؟""]"
transcript_555-1,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_555/1.mp3,Jamshid? Is that you?,"[""جمشید؟ خودتی؟"", ""جَمشید؟ خُودِتی؟"", ""jamshid? khodeti?""]"
transcript_555-2,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_555/2.mp3,Arash? Long time no see!,"[""آرش؟ خیلی وقته ندیدمت!"", ""آرَش؟ خِیلی وَقتِه نَدیدَمِت!"", ""aarash? kheyli vaqte nadidamet!""]"
transcript_555-3,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_555/3.mp3,It's good to see you again!,"[""از دیدنت خیلی خوشحالم."", ""از دیدَنِت خِیلی خُوشحالمَ."", ""az didanet kheyli khoshhaalam.""]"
transcript_555-4,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_555/4.mp3,You've really changed a lot!,"[""چقدر عوض شدی!"", ""چِقدَر عَوَض شُدی!"", ""cheqadr avaz shodi!""]"
transcript_555-5,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_555/5.mp3,You too!,"[""تو هم همینطور!"", ""تُو همَ همَینطوُر!"", ""to ham hamintor!""]"
transcript_555-6,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_555/6.mp3,What's new? How are you doing?,"[""چه خبر؟ چه کارها می کنی؟"", ""چِه خَبَر؟ چِه کارها می کُنی؟"", ""che khabar? che kaar-haa mikoni?""]"
vocabulary-2621,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2621.mp3,yourself,"[""خودت""]"
vocabulary-sample-2124,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2124.mp3,Tell me about yourself.,"[""از خودت بگو!""]"
vocabulary-2622,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2622.mp3,time,"[""وقت""]"
vocabulary-sample-2942,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2942.mp3,I don't have time.,"[""وقت ندارم.""]"
vocabulary-sample-2125,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2125.mp3,How do you spend your free time?,"[""وقت آزاد خود را چه کار می کنی؟""]"
vocabulary-2623,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2623.mp3,It’s good to see you.,"[""از دیدنت خیلی خوشحالم""]"
vocabulary-sample-2126,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2126.mp3,It’s good to see you.,"[""از دیدنت خیلی خوشحالم.""]"
